"","trail.id","trail.name","park.name","popularity","length","elevation.gain"
"1",10020048,"Harding Ice Field Trail","Kenai Fjords National Park",24.8931,15610.598,1161.8976
"3",10267857,"Exit Glacier Trail","Kenai Fjords National Park",17.7821,2896.812,81.9912
"30",10187810,"Bright Angel Trail to Bright Angel Campground and River Trail","Grand Canyon National Park",37.4791,28485.318,1525.8288
"31",10016964,"South Kaibab Trail to Cedar Ridge","Grand Canyon National Park",36.2709,4988.954,358.7496
"32",10237812,"Three-Mile Resthouse via Bright Angel Trail","Grand Canyon National Park",33.256,8690.436,635.8128
"33",10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ","Grand Canyon National Park",31.6323,26875.978,1400.8608
"34",10265905,"South Kaibab Trail to Ooh Aah Point","Grand Canyon National Park",28.8685,2896.812,210.9216
"35",10266148,"Grand Canyon Rim Trail","Grand Canyon National Park",28.2035,8690.436,106.9848
"36",10094721,"Rim-to-Rim: North Kaibab to Grand Canyon Village","Grand Canyon National Park",24.0229,34761.744,1614.8304
"37",10026816,"Shoshone Point Trail","Grand Canyon National Park",22.7206,3379.614,45.72
"38",10235665,"Plateau Point Trail via Bright Angel Trail","Grand Canyon National Park",22.5006,19633.948,961.9488
"39",10266521,"South Kaibab Trail to Skeleton Point","Grand Canyon National Park",22.1688,8690.436,602.8944
"40",10016127,"Grand Canyon West Rim Trail","Grand Canyon National Park",21.652,20599.552,169.7736
"41",10034910,"Bridal Wreath Falls Trail","Saguaro National Park",20.8545,9012.304,326.7456
"42",10337353,"1.5 Mile Resthouse via Bright Angel Trail","Grand Canyon National Park",20.0835,4667.086,349.9104
"43",10013850,"Bright Angel Point Trail","Grand Canyon National Park",19.8228,1448.406,43.8912
"44",10031380,"Wasson Peak Trail","Saguaro National Park",18.8699,12713.786,567.8424
"45",10304374,"Indian Garden via Bright Angel Trail","Grand Canyon National Park",16.7412,13196.588,896.7216
"46",10236025,"Blue Mesa Trail","Petrified Forest National Park",15.5733,1448.406,32.9184
"47",10013966,"King Canyon Trail to Wasson Peak","Saguaro National Park",15.5,11426.314,560.832
"48",10004120,"Grandview Trail Loop","Grand Canyon National Park",14.8144,18668.344,1188.72
"49",10006500,"Hermit Trail","Grand Canyon National Park",14.7746,24783.836,1567.8912
"50",10259347,"Grandview Point to Horseshoe Mesa Trail","Grand Canyon National Park",14.7248,8851.37,726.948
"51",10041313,"North Kaibab Trail to Roaring Springs","Grand Canyon National Park",14.6866,13518.456,1071.9816
"52",10244240,"Wasson Peak via Sweetwater Trail","Saguaro National Park",14.3846,14966.862,637.9464
"53",10111405,"Douglas Spring Trail","Saguaro National Park",14.3478,26715.044,1139.952
"54",10286650,"South Kaibab Trail to Phantom Ranch","Grand Canyon National Park",13.8468,21565.156,1496.8728
"55",10031336,"Widforss Trail","Grand Canyon National Park",13.3343,14644.994,315.7728
"56",10031337,"Transept Trail","Grand Canyon National Park",12.6285,4667.086,85.9536
"57",10304469,"Yavapai Point via Rim Trail","Grand Canyon National Park",12.5954,2574.944,24.9936
"58",10273263,"Bright Angel Trail: South Rim to Phantom Ranch","Grand Canyon National Park",12.4801,28968.12,1518.8184
"59",10000811,"Cape Royal Trail","Grand Canyon National Park",12.4222,1609.34,19.812
"60",10009957,"Rim-to-Rim: North Kaibab to South Kaibab Trailhead","Grand Canyon National Park",12.4044,31060.262,1666.9512
"61",10006953,"Tanque Verde Ridge Trail","Saguaro National Park",12.393,32186.8,1705.9656
"62",10297089,"Rim to Rim Trail Segment: Indian Garden to Colorado River","Grand Canyon National Park",12.3532,9656.04,429.768
"63",10040243,"North Kaibab Trail to Colorado River","Grand Canyon National Park",12.302,45061.52,2092.7568
"64",10026822,"Cape Final","Grand Canyon National Park",12.0834,6437.36,150.876
"65",10242023,"Mica View Loop Trail","Saguaro National Park",11.8629,5954.558,36.8808
"66",10255289,"Phantom Ranch to Ribbon Falls via North Kaibab Trail","Grand Canyon National Park",11.8608,19151.146,592.836
"67",10004435,"Hugh Norris Trail","Saguaro National Park",11.8001,14323.126,729.996
"68",10258667,"North Kaibab Trail to Supai Tunnel and Coconino Overlook","Grand Canyon National Park",11.7107,5954.558,425.8056
"69",10236026,"Crystal Forest Trail","Petrified Forest National Park",11.5545,1448.406,10.9728
"70",10258648,"Hermit's Rest Viewpoint  to Santa Maria Spring","Grand Canyon National Park",11.1051,5471.756,528.828
"71",10257085,"South Kaibab to North Kaibab to Bright Angel Trail","Grand Canyon National Park",11.0836,65822.006,3578.9616
"72",10236022,"Painted Desert Rim Trail","Petrified Forest National Park",10.9378,1770.274,11.8872
"73",10018269,"Petrified Forest Scenic Drive","Petrified Forest National Park",10.9165,46027.124,297.7896
"74",10265749,"Bright Angel Trail to Phantom Overlook to South Kaibab Trail","Grand Canyon National Park",10.8324,27841.582,1748.9424
"75",10315767,"South Kaibab Trail to Tip Off","Grand Canyon National Park",10.6545,14484.06,1004.9256
"76",10023828,"Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village","Grand Canyon National Park",10.3784,88513.7,1601.724
"77",10112001,"Safford Peak Trail","Saguaro National Park",10.3328,3862.416,278.892
"78",10042232,"Thunder Creek to Deer Creek and Thunder Falls","Grand Canyon National Park",10.2641,46670.86,2213.7624
"79",10365390,"Rim to Rim: North to South and Ribbon Falls","Grand Canyon National Park",10.1704,49889.54,1995.8304
"80",10267208,"Gould Mine","Saguaro National Park",10.0467,3701.482,115.824
"81",10293249,"Douglas Spring, Bridal Wreath Falls, Three Tank, Garwood Loop","Saguaro National Park",9.9618,11426.314,381.9144
"82",10258317,"Grand Canyon Rim Village to Hermit's Rest","Grand Canyon National Park",9.9197,24622.902,424.8912
"83",10002324,"Desert View Visitor Center Trail","Grand Canyon National Park",9.7326,643.736,10.9728
"84",10274527,"Coconino Overlook","Grand Canyon National Park",9.609,2092.142,141.732
"85",10009628,"Uncle Jim Trail","Grand Canyon National Park",9.5621,7563.898,222.8088
"86",10009444,"Dripping Springs via Dripping Springs and Hermit Trail","Grand Canyon National Park",9.227,10138.842,796.7472
"87",10251377,"Giant Logs Trail","Petrified Forest National Park",9.1802,965.604,10.9728
"88",10042018,"Onyx Bridge Trail","Petrified Forest National Park",8.7642,7402.964,134.7216
"89",10331092,"North Kaibab Trail to Redwall Bridge","Grand Canyon National Park",8.6888,11104.446,801.9288
"90",10002217,"Valley View Overlook Trail","Saguaro National Park",8.6324,1287.472,14.9352
"91",10041071,"Cactus Forest Loop Drive","Saguaro National Park",8.6024,16576.202,213.9696
"92",10236028,"Long Logs and Agate House Loop Trail","Petrified Forest National Park",8.5243,3379.614,24.9936
"93",10259343,"Tanner Trail","Grand Canyon National Park",8.5202,21404.222,1611.7824
"94",10306310,"Loma Verde and Squeeze Pen Loop","Saguaro National Park",8.4605,5954.558,47.8536
"95",10039522,"Hope Camp","Saguaro National Park",8.2704,10460.71,160.9344
"96",10304719,"South Kaibab, Tonto and Bright Angel Trail","Grand Canyon National Park",8.2646,19955.816,1034.796
"97",10032774,"Garwood Trail","Saguaro National Park",8.2525,5310.822,61.8744
"98",10111504,"Garwood Dam To Douglas Spring Loop Trail","Saguaro National Park",7.9559,10460.71,345.948
"99",10246734,"South to North Kaibab Trail","Grand Canyon National Park",7.7075,31060.262,1966.8744
"100",10281018,"Tanque Verde Ridge","Saguaro National Park",7.7075,5310.822,281.94
"101",10038311,"Freeman Homestead Nature Trail","Saguaro National Park",7.6339,1770.274,32.9184
"102",10258602,"Point Imperial","Grand Canyon National Park",7.5684,160.934,6.7056
"103",10011949,"Sendero Esperanza Trail","Saguaro National Park",7.5414,8046.7,316.992
"104",10298010,"Douglas Spring to Three Tank Trail Junction","Saguaro National Park",7.479,7242.03,295.9608
"105",10302747,"West Rim Trail: Hermits Rest to Powell Point","Grand Canyon National Park",7.4072,19312.08,231.9528
"106",10259900,"Saguaro National Park West and Old Tucson Studios Scenic Drive","Saguaro National Park",7.2569,63086.128,657.7584
"107",10235597,"Roosevelt Point Trail","Grand Canyon National Park",7.2201,482.802,0.9144
"108",10311930,"Petroglyphs at King Canyon","Saguaro National Park",7.1664,3540.548,88.6968
"109",10013382,"South Bass Trail","Grand Canyon National Park",7.1647,19633.948,1330.7568
"110",10236023,"Puerco Pueblo Trail","Petrified Forest National Park",7.0465,482.802,2.7432
"111",10111280,"Cactus Forest Trail","Saguaro National Park",7.0254,16093.4,155.7528
"112",10258739,"The Escalante Route Trail","Grand Canyon National Park",6.9609,56005.032,2881.884
"113",10023951,"Nankoweap Trail","Grand Canyon National Park",6.9456,49406.738,2568.8544
"114",10270136,"Devil's Playground Loop","Petrified Forest National Park",6.9205,12070.05,144.78
"115",10287374,"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop","Saguaro National Park",6.8368,5310.822,23.7744
"116",10272964,"Hermit Trail to Dripping Springs","Grand Canyon National Park",6.8325,8529.502,610.8192
"117",10035690,"Ridge View Trail","Saguaro National Park",6.7822,3701.482,106.9848
"118",10258650,"Cliff Springs Trail","Grand Canyon National Park",6.6276,1770.274,93.8784
"119",10258659,"Walhalla Overlook","Grand Canyon National Park",6.4591,160.934,0
"120",10258654,"Widforss Trail - Short Option","Grand Canyon National Park",6.3809,6920.162,179.832
"121",10315676,"Mica View Trail to Cactus Forest Trail","Saguaro National Park",6.3801,3057.746,20.7264
"122",10259353,"Clear Creek Trail","Grand Canyon National Park",6.3369,49245.804,2673.7056
"123",10039514,"Desert Ecology Trail","Saguaro National Park",6.2729,482.802,2.7432
